Using replay: C:\Users\matae\OneDrive\Desktop\Coding-Projects\local-play-bootstrap-main\replays\match_4184936.SC2Replay

Map: Persephone AIE
Duration: 8886 loops

Calling controller.data_raw()...
Total UnitTypeData entries: 2005

================================================================================
ALL UNIT TYPES WITH ATTRIBUTES
================================================================================
    ID  Name                                      Attributes
    69  DarkShrine                                Armored, Structure [STRUCTURE]
    70  RoboticsBay                               Armored, Structure [STRUCTURE]
    71  RoboticsFacility                          Armored, Structure [STRUCTURE]
    72  CyberneticsCore                           Armored, Structure [STRUCTURE]
    73  Zealot                                    Light, Biological
    74  Stalker                                   Armored, Mechanical
    75  HighTemplar                               Light, Biological, Psionic
    76  DarkTemplar                               Light, Biological, Psionic
    77  Sentry                                    Mechanical, Psionic
    78  Phoenix                                   Light, Mechanical
    79  Carrier                                   Armored, Mechanical, Massive
    80  VoidRay                                   Armored, Mechanical
    81  WarpPrism                                 Armored, Mechanical, Psionic
    82  Observer                                  Light, Mechanical
    83  Immortal                                  Armored, Mechanical
    84  Probe                                     Light, Mechanical
    85  Interceptor                               Light, Mechanical
    86  Hatchery                                  Armored, Biological, Structure [STRUCTURE]
    87  CreepTumor                                Light, Biological, Structure [STRUCTURE]
    88  Extractor                                 Armored, Biological, Structure [STRUCTURE]
    89  SpawningPool                              Armored, Biological, Structure [STRUCTURE]
    90  EvolutionChamber                          Armored, Biological, Structure [STRUCTURE]
    91  HydraliskDen                              Armored, Biological, Structure [STRUCTURE]
    92  Spire                                     Armored, Biological, Structure [STRUCTURE]
    93  UltraliskCavern                           Armored, Biological, Structure [STRUCTURE]
    94  InfestationPit                            Armored, Biological, Structure [STRUCTURE]
    95  NydusNetwork                              Armored, Biological, Structure [STRUCTURE]
    96  BanelingNest                              Armored, Biological, Structure [STRUCTURE]
    97  RoachWarren                               Armored, Biological, Structure [STRUCTURE]
    98  SpineCrawler                              Armored, Biological, Structure [STRUCTURE]
    99  SporeCrawler                              Armored, Biological, Structure [STRUCTURE]
   100  Lair                                      Armored, Biological, Structure [STRUCTURE]
   101  Hive                                      Armored, Biological, Structure [STRUCTURE]
   102  GreaterSpire                              Armored, Biological, Structure [STRUCTURE]
   103  Egg                                       Biological
   104  Drone                                     Light, Biological
   105  Zergling                                  Light, Biological
   106  Overlord                                  Armored, Biological
   107  Hydralisk                                 Light, Biological
   108  Mutalisk                                  Light, Biological
   109  Ultralisk                                 Armored, Biological, Massive
   110  Roach                                     Armored, Biological
   111  Infestor                                  Armored, Biological, Psionic
   112  Corruptor                                 Armored, Biological
   113  BroodLordCocoon                           Biological, Massive
   114  BroodLord                                 Armored, Biological, Massive
   115  BanelingBurrowed                          Biological
   116  DroneBurrowed                             Light, Biological
   117  HydraliskBurrowed                         Light, Biological
   118  RoachBurrowed                             Armored, Biological
   119  ZerglingBurrowed                          Light, Biological
   120  InfestorTerranBurrowed                    Light, Biological
   121  RedstoneLavaCritterBurrowed               Biological
   122  RedstoneLavaCritterInjuredBurrowed        Biological
   123  RedstoneLavaCritter                       Biological
   124  RedstoneLavaCritterInjured                Biological
   125  QueenBurrowed                             Biological, Psionic
   126  Queen                                     Biological, Psionic
   127  InfestorBurrowed                          Armored, Biological, Psionic
   128  OverlordCocoon                            Biological
   129  Overseer                                  Armored, Biological
   130  PlanetaryFortress                         Armored, Mechanical, Structure [STRUCTURE]
   131  UltraliskBurrowed                         Armored, Biological, Massive
   132  OrbitalCommand                            Armored, Mechanical, Structure [STRUCTURE]
   133  WarpGate                                  Armored, Structure [STRUCTURE]
   134  OrbitalCommandFlying                      Armored, Mechanical, Structure [STRUCTURE]
   136  WarpPrismPhasing                          Armored, Mechanical, Psionic
   137  CreepTumorBurrowed                        Light, Biological, Structure [STRUCTURE]
   138  CreepTumorQueen                           Light, Biological, Structure [STRUCTURE]
   139  SpineCrawlerUprooted                      Armored, Biological, Structure [STRUCTURE]
   140  SporeCrawlerUprooted                      Armored, Biological, Structure [STRUCTURE]
   141  Archon                                    Psionic, Massive
   142  NydusCanal                                Armored, Biological, Structure [STRUCTURE]
   143  BroodlingEscort                           Light, Biological
   144  GhostAlternate                            Biological, Psionic
   145  GhostNova                                 Biological, Psionic
   146  RichMineralField                          Structure [STRUCTURE]
   147  RichMineralField750                       Structure [STRUCTURE]
   148  Ursadon                                   Biological
   149  XelNagaTower                              Structure [STRUCTURE]
   150  InfestedTerransEgg                        Biological
   151  Larva                                     Light, Biological
   152  ReaperPlaceholder                         Biological
   268  MULE                                      Light, Mechanical
   289  Broodling                                 Light, Biological
   311  Adept                                     Light, Biological
   312  Rocks2x2NonConjoined                      Armored, Structure [STRUCTURE]
   321  Lyote                                     Biological
   322  CarrionBird                               Biological
   323  KarakMale                                 Biological
   324  KarakFemale                               Biological
   325  UrsadakFemaleExotic                       Biological
   326  UrsadakMale                               Biological
   327  UrsadakFemale                             Biological
   328  UrsadakCalf                               Biological
   329  UrsadakMaleExotic                         Biological
   330  UtilityBot                                Mechanical
   331  CommentatorBot1                           Mechanical
   332  CommentatorBot2                           Mechanical
   333  CommentatorBot3                           Mechanical
   334  CommentatorBot4                           Mechanical
   335  Scantipede                                Biological
   336  Dog                                       Biological
   337  Sheep                                     Biological
   338  Cow                                       Biological
   341  MineralField                              Structure [STRUCTURE]
   342  VespeneGeyser                             Structure [STRUCTURE]
   343  SpacePlatformGeyser                       Structure [STRUCTURE]
   344  RichVespeneGeyser                         Structure [STRUCTURE]
   345  DestructibleSearchlight                   Armored
   346  DestructibleBullhornLights                Armored
   347  DestructibleStreetlight                   Armored
   348  DestructibleSpacePlatformSign             Armored
   349  DestructibleStoreFrontCityProps           Armored
   350  DestructibleBillboardTall                 Armored
   351  DestructibleBillboardScrollingText        Armored
   352  DestructibleSpacePlatformBarrier          Armored
   353  DestructibleSignsDirectional              Armored
   354  DestructibleSignsConstruction             Armored
   355  DestructibleSignsFunny                    Armored
   356  DestructibleSignsIcons                    Armored
   357  DestructibleSignsWarning                  Armored
   358  DestructibleGarage                        Armored, Structure [STRUCTURE]
   359  DestructibleGarageLarge                   Armored, Structure [STRUCTURE]
   360  DestructibleTrafficSignal                 Armored
   361  TrafficSignal                             Armored
   362  BraxisAlphaDestructible1x1                Armored, Structure [STRUCTURE]
   363  BraxisAlphaDestructible2x2                Armored, Structure [STRUCTURE]
   364  DestructibleDebris4x4                     Armored, Structure [STRUCTURE]
   365  DestructibleDebris6x6                     Armored, Structure [STRUCTURE]
   366  DestructibleRock2x4Vertical               Armored, Structure [STRUCTURE]
   367  DestructibleRock2x4Horizontal             Armored, Structure [STRUCTURE]
   368  DestructibleRock2x6Vertical               Armored, Structure [STRUCTURE]
   369  DestructibleRock2x6Horizontal             Armored, Structure [STRUCTURE]
   370  DestructibleRock4x4                       Armored, Structure [STRUCTURE]
   371  DestructibleRock6x6                       Armored, Structure [STRUCTURE]
   372  DestructibleRampDiagonalHugeULBR          Armored, Structure [STRUCTURE]
   373  DestructibleRampDiagonalHugeBLUR          Armored, Structure [STRUCTURE]
   374  DestructibleRampVerticalHuge              Armored, Structure [STRUCTURE]
   375  DestructibleRampHorizontalHuge            Armored, Structure [STRUCTURE]
   376  DestructibleDebrisRampDiagonalHugeULBR    Armored, Structure [STRUCTURE]
   377  DestructibleDebrisRampDiagonalHugeBLUR    Armored, Structure [STRUCTURE]
   379  MengskStatueAlone                         Armored, Structure [STRUCTURE]
   380  MengskStatue                              Armored, Structure [STRUCTURE]
   381  WolfStatue                                Armored, Structure [STRUCTURE]
   382  GlobeStatue                               Armored, Structure [STRUCTURE]
   391  AutoTestAttackTargetGround                Light, Robotic
   392  AutoTestAttackTargetAir                   Robotic
   393  AutoTestAttacker                          Light, Biological
   472  UnbuildableRocksDestructible              Armored, Structure [STRUCTURE]
   473  UnbuildableBricksDestructible             Armored, Structure [STRUCTURE]
   474  UnbuildablePlatesDestructible             Armored, Structure [STRUCTURE]
   475  Debris2x2NonConjoined                     Armored, Structure [STRUCTURE]
   481  ScopeTest                                 Light, Biological
   483  MineralField750                           Structure [STRUCTURE]
   484  HellionTank                               Light, Biological, Mechanical
   485  CollapsibleTerranTowerDebris              Armored, Structure [STRUCTURE]
   486  DebrisRampLeft                            Armored, Structure [STRUCTURE]
   487  DebrisRampRight                           Armored, Structure [STRUCTURE]
   488  MothershipCore                            Armored, Mechanical, Psionic
   489  LocustMP                                  Light, Biological
   490  CollapsibleRockTowerDebris                Armored, Structure [STRUCTURE]
   491  NydusCanalAttacker                        Armored, Biological, Structure [STRUCTURE]
   492  NydusCanalCreeper                         Armored, Biological, Structure [STRUCTURE]
   493  SwarmHostBurrowedMP                       Armored, Biological
   494  SwarmHostMP                               Armored, Biological
   495  Oracle                                    Armored, Mechanical, Psionic
   496  Tempest                                   Armored, Mechanical, Massive
   497  WarHound                                  Armored, Mechanical
   498  WidowMine                                 Light, Mechanical
   499  Viper                                     Armored, Biological, Psionic
   500  WidowMineBurrowed                         Light, Mechanical
   501  LurkerMPEgg                               Biological
   502  LurkerMP                                  Armored, Biological
   503  LurkerMPBurrowed                          Armored, Biological
   504  LurkerDenMP                               Armored, Biological, Structure [STRUCTURE]
   505  ExtendingBridgeNEWide8Out                 Structure [STRUCTURE]
   506  ExtendingBridgeNEWide8                    Structure [STRUCTURE]
   507  ExtendingBridgeNWWide8Out                 Structure [STRUCTURE]
   508  ExtendingBridgeNWWide8                    Structure [STRUCTURE]
   509  ExtendingBridgeNEWide10Out                Structure [STRUCTURE]
   510  ExtendingBridgeNEWide10                   Structure [STRUCTURE]
   511  ExtendingBridgeNWWide10Out                Structure [STRUCTURE]
   512  ExtendingBridgeNWWide10                   Structure [STRUCTURE]
   513  ExtendingBridgeNEWide12Out                Structure [STRUCTURE]
   514  ExtendingBridgeNEWide12                   Structure [STRUCTURE]
   515  ExtendingBridgeNWWide12Out                Structure [STRUCTURE]
   516  ExtendingBridgeNWWide12                   Structure [STRUCTURE]
   517  CollapsibleRockTowerDebrisRampRight       Armored, Structure [STRUCTURE]
   518  CollapsibleRockTowerDebrisRampLeft        Armored, Structure [STRUCTURE]
   535  XelNaga_Caverns_Floating_BridgeNE8Out     Structure [STRUCTURE]
   536  XelNaga_Caverns_Floating_BridgeNE8        Structure [STRUCTURE]
   537  XelNaga_Caverns_Floating_BridgeNW8Out     Structure [STRUCTURE]
   538  XelNaga_Caverns_Floating_BridgeNW8        Structure [STRUCTURE]
   539  XelNaga_Caverns_Floating_BridgeNE10Out    Structure [STRUCTURE]
   540  XelNaga_Caverns_Floating_BridgeNE10       Structure [STRUCTURE]
   541  XelNaga_Caverns_Floating_BridgeNW10Out    Structure [STRUCTURE]
   542  XelNaga_Caverns_Floating_BridgeNW10       Structure [STRUCTURE]
   543  XelNaga_Caverns_Floating_BridgeNE12Out    Structure [STRUCTURE]
   544  XelNaga_Caverns_Floating_BridgeNE12       Structure [STRUCTURE]
   545  XelNaga_Caverns_Floating_BridgeNW12Out    Structure [STRUCTURE]
   546  XelNaga_Caverns_Floating_BridgeNW12       Structure [STRUCTURE]
   547  XelNaga_Caverns_Floating_BridgeH8Out      Structure [STRUCTURE]
   548  XelNaga_Caverns_Floating_BridgeH8         Structure [STRUCTURE]
   549  XelNaga_Caverns_Floating_BridgeV8Out      Structure [STRUCTURE]
   550  XelNaga_Caverns_Floating_BridgeV8         Structure [STRUCTURE]
   551  XelNaga_Caverns_Floating_BridgeH10Out     Structure [STRUCTURE]
   552  XelNaga_Caverns_Floating_BridgeH10        Structure [STRUCTURE]
   553  XelNaga_Caverns_Floating_BridgeV10Out     Structure [STRUCTURE]
   554  XelNaga_Caverns_Floating_BridgeV10        Structure [STRUCTURE]
   555  XelNaga_Caverns_Floating_BridgeH12Out     Structure [STRUCTURE]
   556  XelNaga_Caverns_Floating_BridgeH12        Structure [STRUCTURE]
   557  XelNaga_Caverns_Floating_BridgeV12Out     Structure [STRUCTURE]
   558  XelNaga_Caverns_Floating_BridgeV12        Structure [STRUCTURE]
   559  CollapsibleTerranTowerPushUnitRampLeft    Armored, Structure [STRUCTURE]
   560  CollapsibleTerranTowerPushUnitRampRight   Armored, Structure [STRUCTURE]
   561  CollapsibleRockTowerPushUnit              Armored, Structure [STRUCTURE]
   562  CollapsibleTerranTowerPushUnit            Armored, Structure [STRUCTURE]
   563  CollapsibleRockTowerPushUnitRampRight     Armored, Structure [STRUCTURE]
   564  CollapsibleRockTowerPushUnitRampLeft      Armored, Structure [STRUCTURE]
   565  DigesterCreepSprayTargetUnit              Armored, Biological, Mechanical, Massive, Structure, Heroic [STRUCTURE]
   569  ResourceBlocker                           Structure [STRUCTURE]
   588  CollapsibleRockTowerDiagonal              Armored, Structure [STRUCTURE]
   589  CollapsibleTerranTowerDiagonal            Armored, Structure [STRUCTURE]
   590  CollapsibleTerranTowerRampLeft            Armored, Structure [STRUCTURE]
   591  CollapsibleTerranTowerRampRight           Armored, Structure [STRUCTURE]
   592  Ice2x2NonConjoined                        Armored, Structure [STRUCTURE]
   608  ProtossVespeneGeyser                      Structure [STRUCTURE]
   609  CollapsibleRockTower                      Armored, Structure [STRUCTURE]
   610  CollapsibleTerranTower                    Armored, Structure [STRUCTURE]
   611  ThornLizard                               Biological
   612  CleaningBot                               Mechanical
   613  DestructibleRock6x6Weak                   Armored, Structure [STRUCTURE]
   614  ProtossSnakeSegmentDemo                   Armored, Biological
   624  DestructibleCityDebris2x4Vertical         Armored, Structure [STRUCTURE]
   625  DestructibleCityDebris2x4Horizontal       Armored, Structure [STRUCTURE]
   626  DestructibleCityDebris2x6Vertical         Armored, Structure [STRUCTURE]
   627  DestructibleCityDebris2x6Horizontal       Armored, Structure [STRUCTURE]
   628  DestructibleCityDebris4x4                 Armored, Structure [STRUCTURE]
   629  DestructibleCityDebris6x6                 Armored, Structure [STRUCTURE]
   630  DestructibleCityDebrisHugeDiagonalBLUR    Armored, Structure [STRUCTURE]
   631  DestructibleCityDebrisHugeDiagonalULBR    Armored, Structure [STRUCTURE]
   632  TestZerg                                  Light, Biological
   634  DestructibleRockEx12x4Vertical            Armored, Structure [STRUCTURE]
   635  DestructibleRockEx12x4Horizontal          Armored, Structure [STRUCTURE]
   636  DestructibleRockEx12x6Vertical            Armored, Structure [STRUCTURE]
   637  DestructibleRockEx12x6Horizontal          Armored, Structure [STRUCTURE]
   638  DestructibleRockEx14x4                    Armored, Structure [STRUCTURE]
   639  DestructibleRockEx16x6                    Armored, Structure [STRUCTURE]
   640  DestructibleRockEx1DiagonalHugeULBR       Armored, Structure [STRUCTURE]
   641  DestructibleRockEx1DiagonalHugeBLUR       Armored, Structure [STRUCTURE]
   642  DestructibleRockEx1VerticalHuge           Armored, Structure [STRUCTURE]
   643  DestructibleRockEx1HorizontalHuge         Armored, Structure [STRUCTURE]
   644  DestructibleIce2x4Vertical                Armored, Structure [STRUCTURE]
   645  DestructibleIce2x4Horizontal              Armored, Structure [STRUCTURE]
   646  DestructibleIce2x6Vertical                Armored, Structure [STRUCTURE]
   647  DestructibleIce2x6Horizontal              Armored, Structure [STRUCTURE]
   648  DestructibleIce4x4                        Armored, Structure [STRUCTURE]
   649  DestructibleIce6x6                        Armored, Structure [STRUCTURE]
   650  DestructibleIceDiagonalHugeULBR           Armored, Structure [STRUCTURE]
   651  DestructibleIceDiagonalHugeBLUR           Armored, Structure [STRUCTURE]
   652  DestructibleIceVerticalHuge               Armored, Structure [STRUCTURE]
   653  DestructibleIceHorizontalHuge             Armored, Structure [STRUCTURE]
   654  DesertPlanetSearchlight                   Armored
   655  DesertPlanetStreetlight                   Armored
   658  ZerusDestructibleArch                     Armored, Structure [STRUCTURE]
   659  Artosilope                                Biological
   660  Anteplott                                 Biological
   661  LabBot                                    Mechanical, Hover
   662  Crabeetle                                 Biological
   663  CollapsibleRockTowerRampRight             Armored, Structure [STRUCTURE]
   664  CollapsibleRockTowerRampLeft              Armored, Structure [STRUCTURE]
   665  LabMineralField                           Structure [STRUCTURE]
   666  LabMineralField750                        Structure [STRUCTURE]
   667  SnowRefinery_Terran_ExtendingBridgeNEShort8Out  Structure [STRUCTURE]
   668  SnowRefinery_Terran_ExtendingBridgeNEShort8  Structure [STRUCTURE]
   669  SnowRefinery_Terran_ExtendingBridgeNWShort8Out  Structure [STRUCTURE]
   670  SnowRefinery_Terran_ExtendingBridgeNWShort8  Structure [STRUCTURE]
   687  RavagerCocoon                             Biological
   688  Ravager                                   Biological
   689  Liberator                                 Armored, Mechanical
   690  RavagerBurrowed                           Biological
   691  ThorAP                                    Armored, Mechanical, Massive
   692  Cyclone                                   Armored, Mechanical
   693  LocustMPFlying                            Light, Biological
   694  Disruptor                                 Armored, Mechanical
   695  AiurLightBridgeNE8Out                     Structure [STRUCTURE]
   696  AiurLightBridgeNE8                        Structure [STRUCTURE]
   697  AiurLightBridgeNE10Out                    Structure [STRUCTURE]
   698  AiurLightBridgeNE10                       Structure [STRUCTURE]
   699  AiurLightBridgeNE12Out                    Structure [STRUCTURE]
   700  AiurLightBridgeNE12                       Structure [STRUCTURE]
   701  AiurLightBridgeNW8Out                     Structure [STRUCTURE]
   702  AiurLightBridgeNW8                        Structure [STRUCTURE]
   703  AiurLightBridgeNW10Out                    Structure [STRUCTURE]
   704  AiurLightBridgeNW10                       Structure [STRUCTURE]
   705  AiurLightBridgeNW12Out                    Structure [STRUCTURE]
   706  AiurLightBridgeNW12                       Structure [STRUCTURE]
   707  AiurTempleBridgeNE8Out                    Structure [STRUCTURE]
   708  AiurTempleBridgeNE10Out                   Structure [STRUCTURE]
   709  AiurTempleBridgeNE12Out                   Structure [STRUCTURE]
   710  AiurTempleBridgeNW8Out                    Structure [STRUCTURE]
   711  AiurTempleBridgeNW10Out                   Structure [STRUCTURE]
   712  AiurTempleBridgeNW12Out                   Structure [STRUCTURE]
   713  ShakurasLightBridgeNE8Out                 Structure [STRUCTURE]
   714  ShakurasLightBridgeNE8                    Structure [STRUCTURE]
   715  ShakurasLightBridgeNE10Out                Structure [STRUCTURE]
   716  ShakurasLightBridgeNE10                   Structure [STRUCTURE]
   717  ShakurasLightBridgeNE12Out                Structure [STRUCTURE]
   718  ShakurasLightBridgeNE12                   Structure [STRUCTURE]
   719  ShakurasLightBridgeNW8Out                 Structure [STRUCTURE]
   720  ShakurasLightBridgeNW8                    Structure [STRUCTURE]
   721  ShakurasLightBridgeNW10Out                Structure [STRUCTURE]
   722  ShakurasLightBridgeNW10                   Structure [STRUCTURE]
   723  ShakurasLightBridgeNW12Out                Structure [STRUCTURE]
   724  ShakurasLightBridgeNW12                   Structure [STRUCTURE]
   725  VoidMPImmortalReviveCorpse                Armored, Mechanical
   726  GuardianCocoonMP                          Biological, Massive
   727  GuardianMP                                Armored, Biological, Massive
   728  DevourerCocoonMP                          Biological, Massive
   729  DevourerMP                                Armored, Biological, Massive
   730  DefilerMPBurrowed                         Biological, Psionic
   731  DefilerMP                                 Biological, Psionic
   732  OracleStasisTrap                          Light, Structure [STRUCTURE]
   733  DisruptorPhased                           Armored, Mechanical
   734  LiberatorAG                               Armored, Mechanical
   735  AiurLightBridgeAbandonedNE8Out            Structure [STRUCTURE]
   736  AiurLightBridgeAbandonedNE8               Structure [STRUCTURE]
   737  AiurLightBridgeAbandonedNE10Out           Structure [STRUCTURE]
   738  AiurLightBridgeAbandonedNE10              Structure [STRUCTURE]
   739  AiurLightBridgeAbandonedNE12Out           Structure [STRUCTURE]
   740  AiurLightBridgeAbandonedNE12              Structure [STRUCTURE]
   741  AiurLightBridgeAbandonedNW8Out            Structure [STRUCTURE]
   742  AiurLightBridgeAbandonedNW8               Structure [STRUCTURE]
   743  AiurLightBridgeAbandonedNW10Out           Structure [STRUCTURE]
   744  AiurLightBridgeAbandonedNW10              Structure [STRUCTURE]
   745  AiurLightBridgeAbandonedNW12Out           Structure [STRUCTURE]
   746  AiurLightBridgeAbandonedNW12              Structure [STRUCTURE]
   747  CollapsiblePurifierTowerDebris            Armored, Structure [STRUCTURE]
   748  PortCity_Bridge_UnitNE8Out                Structure [STRUCTURE]
   749  PortCity_Bridge_UnitNE8                   Structure [STRUCTURE]
   750  PortCity_Bridge_UnitSE8Out                Structure [STRUCTURE]
   751  PortCity_Bridge_UnitSE8                   Structure [STRUCTURE]
   752  PortCity_Bridge_UnitNW8Out                Structure [STRUCTURE]
   753  PortCity_Bridge_UnitNW8                   Structure [STRUCTURE]
   754  PortCity_Bridge_UnitSW8Out                Structure [STRUCTURE]
   755  PortCity_Bridge_UnitSW8                   Structure [STRUCTURE]
   756  PortCity_Bridge_UnitNE10Out               Structure [STRUCTURE]
   757  PortCity_Bridge_UnitNE10                  Structure [STRUCTURE]
   758  PortCity_Bridge_UnitSE10Out               Structure [STRUCTURE]
   759  PortCity_Bridge_UnitSE10                  Structure [STRUCTURE]
   760  PortCity_Bridge_UnitNW10Out               Structure [STRUCTURE]
   761  PortCity_Bridge_UnitNW10                  Structure [STRUCTURE]
   762  PortCity_Bridge_UnitSW10Out               Structure [STRUCTURE]
   763  PortCity_Bridge_UnitSW10                  Structure [STRUCTURE]
   764  PortCity_Bridge_UnitNE12Out               Structure [STRUCTURE]
   765  PortCity_Bridge_UnitNE12                  Structure [STRUCTURE]
   766  PortCity_Bridge_UnitSE12Out               Structure [STRUCTURE]
   767  PortCity_Bridge_UnitSE12                  Structure [STRUCTURE]
   768  PortCity_Bridge_UnitNW12Out               Structure [STRUCTURE]
   769  PortCity_Bridge_UnitNW12                  Structure [STRUCTURE]
   770  PortCity_Bridge_UnitSW12Out               Structure [STRUCTURE]
   771  PortCity_Bridge_UnitSW12                  Structure [STRUCTURE]
   772  PortCity_Bridge_UnitN8Out                 Structure [STRUCTURE]
   773  PortCity_Bridge_UnitN8                    Structure [STRUCTURE]
   774  PortCity_Bridge_UnitS8Out                 Structure [STRUCTURE]
   775  PortCity_Bridge_UnitS8                    Structure [STRUCTURE]
   776  PortCity_Bridge_UnitE8Out                 Structure [STRUCTURE]
   777  PortCity_Bridge_UnitE8                    Structure [STRUCTURE]
   778  PortCity_Bridge_UnitW8Out                 Structure [STRUCTURE]
   779  PortCity_Bridge_UnitW8                    Structure [STRUCTURE]
   780  PortCity_Bridge_UnitN10Out                Structure [STRUCTURE]
   781  PortCity_Bridge_UnitN10                   Structure [STRUCTURE]
   782  PortCity_Bridge_UnitS10Out                Structure [STRUCTURE]
   783  PortCity_Bridge_UnitS10                   Structure [STRUCTURE]
   784  PortCity_Bridge_UnitE10Out                Structure [STRUCTURE]
   785  PortCity_Bridge_UnitE10                   Structure [STRUCTURE]
   786  PortCity_Bridge_UnitW10Out                Structure [STRUCTURE]
   787  PortCity_Bridge_UnitW10                   Structure [STRUCTURE]
   788  PortCity_Bridge_UnitN12Out                Structure [STRUCTURE]
   789  PortCity_Bridge_UnitN12                   Structure [STRUCTURE]
   790  PortCity_Bridge_UnitS12Out                Structure [STRUCTURE]
   791  PortCity_Bridge_UnitS12                   Structure [STRUCTURE]
   792  PortCity_Bridge_UnitE12Out                Structure [STRUCTURE]
   793  PortCity_Bridge_UnitE12                   Structure [STRUCTURE]
   794  PortCity_Bridge_UnitW12Out                Structure [STRUCTURE]
   795  PortCity_Bridge_UnitW12                   Structure [STRUCTURE]
   796  PurifierRichMineralField                  Structure [STRUCTURE]
   797  PurifierRichMineralField750               Structure [STRUCTURE]
   798  CollapsiblePurifierTowerPushUnit          Armored, Structure [STRUCTURE]
   801  AdeptPhaseShift                           Light, Biological
   820  HERCPlacement                             Armored, Biological
   830  KD8Charge                                 Structure [STRUCTURE]
   833  SlaynElementalGrabAirUnit                 Biological
   834  SlaynElementalGrabGroundUnit              Biological
   836  DestructibleExpeditionGate6x6             Armored, Structure [STRUCTURE]
   837  DestructibleZergInfestation3x3            Armored, Structure [STRUCTURE]
   838  HERC                                      Armored, Biological
   839  Moopy                                     Light, Biological
   840  Replicant                                 Light, Biological
